BP_RS01600	thiE
BP_RS01605	BP_RS01605
BP_RS01610	BP_RS01610
BP_RS01615	BP_RS01615
BP_RS01620	ruvX
BP_RS01625	BP_RS01625
BP_RS01635	BP_RS01635
BP_RS01640	BP_RS01640
BP_RS01645	lptG
BP_RS01650	mtgA
BP_RS01655	BP_RS01655
BP_RS01660	BP_RS01660
BP_RS01665	BP_RS01665
BP_RS01670	BP_RS01670
BP_RS01675	BP_RS01675
BP_RS01680	BP_RS01680
BP_RS01685	BP_RS01685
BP_RS01690	BP_RS01690
BP_RS01700	BP_RS01700
BP_RS01710	BP_RS01710
BP_RS01715	BP_RS01715
BP_RS01720	BP_RS01720
BP_RS01725	alkB
BP_RS01730	BP_RS01730
BP_RS01735	BP_RS01735
BP_RS01740	BP_RS01740
BP_RS01745	BP_RS01745
BP_RS01750	BP_RS01750
BP_RS01755	BP_RS01755
BP_RS01760	BP_RS01760
BP_RS01765	BP_RS01765
BP_RS01770	BP_RS01770
BP_RS01775	BP_RS01775
BP_RS01780	BP_RS01780
BP_RS01785	BP_RS01785
BP_RS01790	BP_RS01790
BP_RS01795	BP_RS01795
BP_RS01800	BP_RS01800
BP_RS01805	BP_RS01805
BP_RS01810	BP_RS01810
BP_RS01815	BP_RS01815
BP_RS01820	BP_RS01820
BP_RS01825	BP_RS01825
BP_RS01830	BP_RS01830
BP_RS01835	BP_RS01835
BP_RS01840	BP_RS01840
BP_RS01845	BP_RS01845
BP_RS01850	BP_RS01850
BP_RS01855	BP_RS01855
BP_RS01860	BP_RS01860
BP_RS01865	gdhA
BP_RS01870	BP_RS01870
BP_RS01875	pyrE
BP_RS01880	gatB
BP_RS01885	gatA
BP_RS01890	gatC
BP_RS01895	BP_RS01895
BP_RS01900	mreC
BP_RS01905	mreD
BP_RS01910	mrdA
BP_RS01915	rodA
BP_RS01920	BP_RS01920
BP_RS01925	BP_RS01925
BP_RS01930	slmA
BP_RS01935	BP_RS01935
BP_RS01940	argB
BP_RS01945	BP_RS01945
BP_RS01950	BP_RS01950
BP_RS01955	BP_RS01955
BP_RS01960	BP_RS01960
BP_RS01970	rsmI
BP_RS01975	BP_RS01975
BP_RS01980	BP_RS01980
BP_RS01985	BP_RS01985
BP_RS01990	BP_RS01990
BP_RS01995	BP_RS01995
BP_RS02000	BP_RS02000
BP_RS02005	BP_RS02005
	
BP_RS02015	BP_RS02015
BP_RS02020	BP_RS02020
BP_RS02025	BP_RS02025
BP_RS02030	BP_RS02030
BP_RS02035	gltS
BP_RS02040	BP_RS02040
BP_RS02045	BP_RS02045
BP_RS02050	BP_RS02050
BP_RS02055	BP_RS02055
BP_RS02060	dnaQ
BP_RS02070	BP_RS02070
BP_RS02080	BP_RS02080
BP_RS02085	BP_RS02085
BP_RS02090	BP_RS02090
BP_RS02100	BP_RS02100
BP_RS02105	BP_RS02105
BP_RS02110	BP_RS02110
BP_RS02115	BP_RS02115
BP_RS02120	BP_RS02120
BP_RS02125	BP_RS02125
BP_RS02130	BP_RS02130
BP_RS02135	BP_RS02135
BP_RS02140	BP_RS02140
BP_RS20005	BP_RS20005
	
BP_RS02150	BP_RS02150
BP_RS02155	BP_RS02155
BP_RS02160	BP_RS02160
BP_RS02165	BP_RS02165
BP_RS02170	BP_RS02170
BP_RS02175	pruA
BP_RS02180	BP_RS02180
BP_RS02185	BP_RS02185
BP_RS02190	BP_RS02190
BP_RS02195	BP_RS02195
	
BP_RS02210	BP_RS02210
BP_RS02215	BP_RS02215
BP_RS02220	BP_RS02220
BP_RS02225	BP_RS02225
BP_RS02230	BP_RS02230
BP_RS02240	BP_RS02240
BP_RS02245	BP_RS02245
BP_RS02250	BP_RS02250
BP_RS02270	BP_RS02270
BP_RS02275	BP_RS02275
BP_RS02280	BP_RS02280
BP_RS02285	BP_RS02285
BP_RS02290	BP_RS02290
BP_RS02295	BP_RS02295
BP_RS02300	BP_RS02300
BP_RS02305	BP_RS02305
BP_RS02310	BP_RS02310
BP_RS02315	BP_RS02315
BP_RS02325	BP_RS02325
BP_RS02330	BP_RS02330
BP_RS02335	BP_RS02335
BP_RS02340	BP_RS02340
BP_RS02345	BP_RS02345
BP_RS02350	BP_RS02350
BP_RS02355	BP_RS02355
BP_RS02360	BP_RS02360
BP_RS02365	ilvB
BP_RS02370	BP_RS02370
BP_RS02375	BP_RS02375
BP_RS02380	BP_RS02380
BP_RS02385	ribB
BP_RS02395	BP_RS02395
BP_RS02400	BP_RS02400
BP_RS02405	BP_RS02405
BP_RS02410	BP_RS02410
BP_RS02415	BP_RS02415
BP_RS02420	msrP
